arm,seed,first_contact_step,first_success_step,best_success,final_success,stable_success_final5,retention_gap,collapse_events
cold,0,30000,30000,0.14,0.04,0.028,0.112,0
cold,1,20000,30000,0.14,0.06,0.036,0.104,0
cold,2,30000,30000,0.14,0.08,0.048,0.092,0
cold,3,30000,20000,0.2,0.04,0.028,0.172,0
cold,4,20000,20000,0.16,0.04,0.016,0.144,0
cold,5,30000,30000,0.12,0.0,0.008,0.112,0
cold,6,20000,20000,0.16,0.0,0.044,0.116,0
cold,7,20000,50000,0.06,0.02,0.012,0.048,0
demo_seed,0,10000,20000,0.22,0.0,0.004,0.216,0
demo_seed,1,10000,10000,0.3,0.02,0.076,0.224,1
demo_seed,2,10000,10000,0.3,0.02,0.016,0.284,3
demo_seed,3,10000,10000,0.14,0.0,0.024,0.116,0
demo_seed,4,10000,10000,0.32,0.04,0.132,0.188,0
demo_seed,5,10000,20000,0.2,0.08,0.064,0.136,0
demo_seed,6,10000,10000,0.14,0.02,0.068,0.072,0
demo_seed,7,10000,10000,0.26,0.02,0.036,0.224,0
