pipeline,stage,median_us,p95_us,stddev_us,iterations
hypergraph,state_assembly,0.19,0.201,0.11418065070365468,10000
hypergraph,forward,1.313,1.3430000000000002,0.3456530680650615,10000
hypergraph,decode,0.09,0.091,0.011222034920191712,10000
hypergraph,total,1.593,1.624,0.3804050622970076,10000
td3,state_assembly,0.02,0.03,0.050298104599577106,10000
td3,forward,0.33099999999999996,0.33099999999999996,0.07549862132145195,10000
td3,decode,0.08,0.081,0.0968292578015034,10000
td3,total,0.431,0.441,0.13290379097738336,10000
pid_td3,state_assembly,0.02,0.03,0.0050146581777826904,10000
pid_td3,forward,0.29,0.301,0.06978015982777627,10000
pid_td3,decode,0.06,0.081,0.04580159447868591,10000
pid_td3,total,0.371,0.401,0.08437286931496411,10000
