iter,state_assembly_us,forward_us,decode_us,total_us
0,0.03,0.541,0.14,0.711
1,0.02,0.371,0.07,0.461
2,0.03,0.301,0.08,0.41100000000000003
3,0.02,0.291,0.08,0.391
4,0.02,0.301,0.08,0.401
5,0.02,0.29,0.081,0.391
6,0.02,0.29,0.08,0.39
7,0.03,0.29,0.08,0.39999999999999997
8,0.03,0.291,0.08,0.401
9,0.02,0.291,0.08,0.391
10,0.03,0.291,0.08,0.401
11,0.02,0.291,0.08,0.391
12,0.02,0.29,0.08,0.39
13,0.02,0.311,0.08,0.41100000000000003
14,0.03,0.29,0.081,0.401
15,0.02,0.29,0.08,0.39
16,0.02,0.29,0.08,0.39
17,0.02,0.301,0.08,0.401
18,0.03,0.291,0.08,0.401
19,0.02,0.291,0.08,0.391
20,0.02,0.29,0.081,0.391
21,0.02,0.3,0.08,0.39999999999999997
22,0.03,0.29,0.08,0.39999999999999997
23,0.02,0.291,0.08,0.391
24,0.02,0.291,0.08,0.391
25,0.02,0.301,0.08,0.401
26,0.03,0.29,0.081,0.401
27,0.02,0.29,0.08,0.39
28,0.02,0.3,0.08,0.39999999999999997
29,0.03,0.291,0.08,0.401
30,0.02,0.291,0.08,0.391
31,0.02,0.291,0.08,0.391
32,0.03,0.291,0.07,0.391
33,0.03,0.29,0.08,0.39999999999999997
34,0.02,0.29,0.08,0.39
35,0.02,0.301,0.07,0.391
36,0.03,0.291,0.08,0.401
37,0.02,0.291,0.08,0.391
38,0.02,0.291,0.08,0.391
39,0.03,0.29,0.08,0.39999999999999997
40,0.03,0.29,0.08,0.39999999999999997
41,0.02,0.291,0.08,0.391
42,0.02,0.301,0.08,0.401
43,0.03,0.291,0.08,0.401
44,0.02,0.291,0.08,0.391
45,0.02,0.29,0.08,0.39
46,0.02,0.3,0.08,0.39999999999999997
47,0.03,0.291,0.08,0.401
48,0.02,0.291,0.08,0.391
49,0.02,0.301,0.08,0.401
50,0.02,0.291,0.08,0.391
51,0.03,0.29,0.081,0.401
52,0.03,0.29,0.08,0.39999999999999997
53,0.02,0.291,0.08,0.391
54,0.02,0.301,0.07,0.391
55,0.03,0.291,0.08,0.401
56,0.03,0.291,0.08,0.401
57,0.02,0.29,0.081,0.391
58,0.03,0.29,0.08,0.39999999999999997
59,0.020999999999999998,0.29,0.08,0.391
60,0.02,0.291,0.08,0.391
61,0.02,0.301,0.07,0.391
62,0.03,0.291,0.08,0.401
63,0.02,0.29,0.081,0.391
64,0.02,0.3,0.07,0.39
65,0.031,0.29,0.08,0.401
66,0.03,0.291,0.08,0.401
67,0.02,0.291,0.08,0.391
68,0.02,0.301,0.07,0.391
69,0.03,0.29,0.081,0.401
70,0.03,0.29,0.08,0.39999999999999997
71,0.020999999999999998,0.29,0.08,0.391
72,0.02,0.301,0.07,0.391
73,0.03,0.291,0.08,0.401
74,0.02,0.291,0.08,0.391
75,0.02,0.29,0.081,0.391
76,0.03,0.29,0.08,0.39999999999999997
77,0.031,0.29,0.08,0.401
78,0.02,0.291,0.08,0.391
79,0.02,0.301,0.07,0.391
80,0.03,0.291,0.08,0.401
81,0.03,0.29,0.081,0.401
82,0.02,0.3,0.07,0.39
83,0.031,0.29,0.08,0.401
84,0.02,0.291,0.08,0.391
85,0.02,0.291,0.08,0.391
86,0.03,0.291,0.08,0.401
87,0.03,0.29,0.081,0.401
88,0.02,0.29,0.08,0.39
89,0.020999999999999998,0.3,0.07,0.391
90,0.03,0.291,0.08,0.401
91,0.03,0.291,0.08,0.401
92,0.02,0.291,0.08,0.391
93,0.02,0.3,0.071,0.391
94,0.03,0.29,0.08,0.39999999999999997
95,0.031,0.3,0.08,0.41100000000000003
96,0.03,0.291,0.08,0.401
