t,q_0,q_1,q_2,q_3,qd_0,qd_1,qd_2,qd_3,sp_0,sp_1,sp_2,sp_3,tau_0,tau_1,tau_2,tau_3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.659681859952056082e-01,-4.304136545397136415e-01,1.118446903160671413e+00,0.000000000000000000e+00,2.659681859952056082e-01,-4.304136545397136415e-01,1.118446903160671413e+00
2.000000000000000042e-03,-1.064047475952595219e-04,1.819659867420779899e-03,-5.028134408863714662e-03,1.479025991574107156e-02,-5.320237379762975810e-02,9.098299337103898932e-01,-2.514067204431857494e+00,7.395129957870535620e+00,8.399997984000143062e-04,2.666559430841912715e-01,-4.308314632888419204e-01,1.119227783604193283e+00,0.000000000000000000e+00,2.659681859952056082e-01,-4.304136545397136415e-01,1.118446903160671413e+00
4.000000000000000083e-03,-1.191832245117482094e-04,4.075081842864015924e-03,-1.089145744688410980e-02,2.950552654568733280e-02,-6.389238458244343721e-03,1.127710987721617819e+00,-2.931661519010197114e+00,7.357633314973131000e+00,1.679998387200464221e-03,2.673435295133823608e-01,-4.312488412065428878e-01,1.120005037750675170e+00,1.679998387200464221e-03,2.673435295133823608e-01,-4.312488412065428878e-01,1.120005037750675170e+00
6.000000000000000125e-03,-9.896534399911426744e-05,6.499978660876391812e-03,-1.682298232499475354e-02,4.404669587339636594e-02,1.010894025631697141e-02,1.212448409006188221e+00,-2.965762439055321220e+00,7.270584663854516627e+00,2.519994556803527123e-03,2.680309448427237728e-01,-4.316657878754385225e-01,1.120778663081814619e+00,1.679998387200464221e-03,2.673435295133823608e-01,-4.312488412065428878e-01,1.120005037750675170e+00
8.000000000000000167e-03,-7.433005927193303921e-05,9.028290082070039579e-03,-2.267137943080594839e-02,5.839438264938281303e-02,1.231764236359061786e-02,1.264155710596823523e+00,-2.924198552905597381e+00,7.173843387993223963e+00,3.359987097614863284e-03,2.687181886322695945e-01,-4.320823028785822362e-01,1.121548657091065992e+00,3.359987097614863284e-03,2.687181886322695945e-01,-4.320823028785822362e-01,1.121548657091065992e+00
1.000000000000000021e-02,-3.020006115776050550e-05,1.164262714867497772e-02,-2.842486460017644781e-02,7.257103582375826201e-02,2.206499905708626807e-02,1.307168533302469404e+00,-2.876742584685250126e+00,7.088326587187721017e+00,4.199974800045359370e-03,2.694052604421838804e-01,-4.324983857994590952e-01,1.122315017283649574e+00,3.359987097614863284e-03,2.687181886322695945e-01,-4.320823028785822362e-01,1.121548657091065992e+00
1.200000000000000025e-02,1.621423856218400227e-05,1.432564534844178554e-02,-3.407266350025976720e-02,8.655895785307129997e-02,2.320714985997225296e-02,1.341509099883404055e+00,-2.823899450041659431e+00,6.993961014656520092e+00,5.039956454512869999e-03,2.700921598327407080e-01,-4.329140362219862648e-01,1.123077741176558897e+00,5.039956454512869999e-03,2.700921598327407080e-01,-4.329140362219862648e-01,1.123077741176558897e+00
1.400000000000000029e-02,8.157756947173422216e-05,1.707100113338440653e-02,-3.962860529705922868e-02,1.003804374623877976e-01,3.268166545477510510e-02,1.372677892471310557e+00,-2.777970898399731770e+00,6.910739804658248886e+00,5.879930851443955497e-03,2.707788863643244004e-01,-4.333292537305131753e-01,1.123836826298569402e+00,5.039956454512869999e-03,2.700921598327407080e-01,-4.329140362219862648e-01,1.123077741176558897e+00
1.600000000000000033e-02,1.489062936612499128e-04,1.986517305077490497e-02,-4.508613660824262875e-02,1.140179184938127505e-01,3.366436209475785063e-02,1.397085958695249763e+00,-2.728765655591699701e+00,6.818740515712475414e+00,6.719896781275631371e-03,2.714654395974300805e-01,-4.337440379098225773e-01,1.124592270190245769e+00,6.719896781275631371e-03,2.714654395974300805e-01,-4.337440379098225773e-01,1.124592270190245769e+00
1.800000000000000211e-02,2.348950710924290830e-04,2.270410268066561793e-02,-5.045931795819288967e-02,1.274934374537228521e-01,4.299438871558957515e-02,1.419464814945356368e+00,-2.686590674975132043e+00,6.737759479955050423e+00,7.559853034457105631e-03,2.721518190926636716e-01,-4.341583883451300974e-01,1.125344070403950569e+00,6.719896781275631371e-03,2.714654395974300805e-01,-4.337440379098225773e-01,1.124592270190245769e+00
