corpus,num_hyperedges,mean_arity,operation,median_ms,p95_ms,predicted_ms,ratio
size_00010_d3,10,3.0,compile,0.558506,0.7364719999999999,0.558506,1.0
size_00010_d3,10,3.0,star_expansion,0.00021,0.000211,0.00021,1.0
size_00010_d3,10,3.0,mp_forward_F64,0.006813,0.010139,0.006813,1.0
size_00100_d3,100,3.0,compile,3.390138,3.950296,5.5850599999999995,0.6070011781431176
size_00100_d3,100,3.0,star_expansion,0.0013230000000000002,0.001333,0.0021000000000000003,0.63
size_00100_d3,100,3.0,mp_forward_F64,0.055715,0.064742,0.06813,0.8177748422134156
size_01000_d3,1000,3.0,compile,37.012295,47.303956,55.85059999999999,0.6627018331047474
size_01000_d3,1000,3.0,star_expansion,0.013134,0.014748,0.021,0.6254285714285713
size_01000_d3,1000,3.0,mp_forward_F64,0.588572,0.9986780000000001,0.6813,0.8638954939087039
size_10000_d3,10000,3.0,compile,539.230384,605.327389,558.506,0.9654871818745009
size_10000_d3,10000,3.0,star_expansion,0.17652299999999999,0.201932,0.21000000000000002,0.8405857142857142
size_10000_d3,10000,3.0,mp_forward_F64,15.186179,17.20378,6.813,2.229000293556436
