family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
chain,chain_1,1,0,0.0,496,0,compile,232358,0
chain,chain_1,1,0,0.0,496,0,urdf,11482,522
chain,chain_1,1,0,0.0,496,0,sdf,8686,778
chain,chain_1,1,0,0.0,496,0,gazebo,90911,2057
chain,chain_1,1,0,0.0,496,0,mjcf,5861,356
chain,chain_1,1,0,0.0,496,0,dot,1082,182
chain,chain_1,1,0,0.0,496,0,mermaid,2244,277
chain,chain_1,1,0,0.0,496,1,compile,234603,0
chain,chain_1,1,0,0.0,496,1,urdf,11422,522
chain,chain_1,1,0,0.0,496,1,sdf,7504,778
chain,chain_1,1,0,0.0,496,1,gazebo,64070,2057
chain,chain_1,1,0,0.0,496,1,mjcf,2575,356
chain,chain_1,1,0,0.0,496,1,dot,811,182
chain,chain_1,1,0,0.0,496,1,mermaid,932,277
chain,chain_1,1,0,0.0,496,2,compile,234412,0
chain,chain_1,1,0,0.0,496,2,urdf,10610,522
chain,chain_1,1,0,0.0,496,2,sdf,7344,778
chain,chain_1,1,0,0.0,496,2,gazebo,66515,2057
chain,chain_1,1,0,0.0,496,2,mjcf,2545,356
chain,chain_1,1,0,0.0,496,2,dot,822,182
chain,chain_1,1,0,0.0,496,2,mermaid,951,277
chain,chain_1,1,0,0.0,496,3,compile,230064,0
chain,chain_1,1,0,0.0,496,3,urdf,10469,522
chain,chain_1,1,0,0.0,496,3,sdf,7164,778
chain,chain_1,1,0,0.0,496,3,gazebo,78659,2057
chain,chain_1,1,0,0.0,496,3,mjcf,2484,356
chain,chain_1,1,0,0.0,496,3,dot,682,182
chain,chain_1,1,0,0.0,496,3,mermaid,952,277
chain,chain_1,1,0,0.0,496,4,compile,232168,0
chain,chain_1,1,0,0.0,496,4,urdf,10450,522
chain,chain_1,1,0,0.0,496,4,sdf,7244,778
chain,chain_1,1,0,0.0,496,4,gazebo,67207,2057
chain,chain_1,1,0,0.0,496,4,mjcf,2635,356
chain,chain_1,1,0,0.0,496,4,dot,672,182
chain,chain_1,1,0,0.0,496,4,mermaid,972,277
chain,chain_1,1,0,0.0,496,5,compile,234232,0
chain,chain_1,1,0,0.0,496,5,urdf,10489,522
chain,chain_1,1,0,0.0,496,5,sdf,7134,778
chain,chain_1,1,0,0.0,496,5,gazebo,63330,2057
chain,chain_1,1,0,0.0,496,5,mjcf,2185,356
chain,chain_1,1,0,0.0,496,5,dot,632,182
chain,chain_1,1,0,0.0,496,5,mermaid,922,277
chain,chain_1,1,0,0.0,496,6,compile,231988,0
chain,chain_1,1,0,0.0,496,6,urdf,10460,522
chain,chain_1,1,0,0.0,496,6,sdf,7274,778
chain,chain_1,1,0,0.0,496,6,gazebo,70713,2057
chain,chain_1,1,0,0.0,496,6,mjcf,2454,356
chain,chain_1,1,0,0.0,496,6,dot,882,182
chain,chain_1,1,0,0.0,496,6,mermaid,891,277
chain,chain_1,1,0,0.0,496,7,compile,232057,0
chain,chain_1,1,0,0.0,496,7,urdf,10580,522
chain,chain_1,1,0,0.0,496,7,sdf,7163,778
chain,chain_1,1,0,0.0,496,7,gazebo,62037,2057
chain,chain_1,1,0,0.0,496,7,mjcf,2465,356
chain,chain_1,1,0,0.0,496,7,dot,852,182
chain,chain_1,1,0,0.0,496,7,mermaid,921,277
chain,chain_1,1,0,0.0,496,8,compile,232909,0
chain,chain_1,1,0,0.0,496,8,urdf,10439,522
chain,chain_1,1,0,0.0,496,8,sdf,7144,778
chain,chain_1,1,0,0.0,496,8,gazebo,68229,2057
chain,chain_1,1,0,0.0,496,8,mjcf,2455,356
