family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
highArity,ha_m200_d2,200,200,2.0,90365,0,compile,4104972,0
highArity,ha_m200_d2,200,200,2.0,90365,1,compile,4100183,0
highArity,ha_m200_d2,200,200,2.0,90365,2,compile,4087289,0
highArity,ha_m200_d2,200,200,2.0,90365,3,compile,4072340,0
highArity,ha_m200_d2,200,200,2.0,90365,4,compile,4089703,0
highArity,ha_m200_d2,200,200,2.0,90365,5,compile,4101245,0
highArity,ha_m200_d2,200,200,2.0,90365,6,compile,4095515,0
highArity,ha_m200_d2,200,200,2.0,90365,7,compile,4129648,0
highArity,ha_m200_d2,200,200,2.0,90365,8,compile,4118858,0
highArity,ha_m200_d2,200,200,2.0,90365,9,compile,4088551,0
highArity,ha_m200_d3,300,200,3.0,124643,0,compile,5943930,0
highArity,ha_m200_d3,300,200,3.0,124643,1,compile,5922981,0
highArity,ha_m200_d3,300,200,3.0,124643,2,compile,5881783,0
highArity,ha_m200_d3,300,200,3.0,124643,3,compile,5659443,0
highArity,ha_m200_d3,300,200,3.0,124643,4,compile,5683789,0
highArity,ha_m200_d3,300,200,3.0,124643,5,compile,5678990,0
highArity,ha_m200_d3,300,200,3.0,124643,6,compile,5704639,0
highArity,ha_m200_d3,300,200,3.0,124643,7,compile,5662840,0
highArity,ha_m200_d3,300,200,3.0,124643,8,compile,5660095,0
highArity,ha_m200_d3,300,200,3.0,124643,9,compile,5715039,0
highArity,ha_m200_d5,500,200,5.0,193276,0,compile,9619402,0
highArity,ha_m200_d5,500,200,5.0,193276,1,compile,9163542,0
highArity,ha_m200_d5,500,200,5.0,193276,2,compile,9037715,0
highArity,ha_m200_d5,500,200,5.0,193276,3,compile,9031353,0
highArity,ha_m200_d5,500,200,5.0,193276,4,compile,9023789,0
highArity,ha_m200_d5,500,200,5.0,193276,5,compile,9001086,0
highArity,ha_m200_d5,500,200,5.0,193276,6,compile,9104010,0
highArity,ha_m200_d5,500,200,5.0,193276,7,compile,9059176,0
highArity,ha_m200_d5,500,200,5.0,193276,8,compile,8954317,0
highArity,ha_m200_d5,500,200,5.0,193276,9,compile,8986158,0
highArity,ha_m200_d10,1000,200,10.0,364760,0,compile,17204829,0
highArity,ha_m200_d10,1000,200,10.0,364760,1,compile,17164351,0
highArity,ha_m200_d10,1000,200,10.0,364760,2,compile,17115450,0
highArity,ha_m200_d10,1000,200,10.0,364760,3,compile,17072589,0
highArity,ha_m200_d10,1000,200,10.0,364760,4,compile,17131210,0
highArity,ha_m200_d10,1000,200,10.0,364760,5,compile,17180793,0
highArity,ha_m200_d10,1000,200,10.0,364760,6,compile,17129466,0
highArity,ha_m200_d10,1000,200,10.0,364760,7,compile,17101303,0
highArity,ha_m200_d10,1000,200,10.0,364760,8,compile,17061718,0
highArity,ha_m200_d10,1000,200,10.0,364760,9,compile,17089060,0
highArity,ha_m200_d20,2000,200,20.0,710788,0,compile,33698806,0
highArity,ha_m200_d20,2000,200,20.0,710788,1,compile,33684429,0
highArity,ha_m200_d20,2000,200,20.0,710788,2,compile,33800508,0
highArity,ha_m200_d20,2000,200,20.0,710788,3,compile,33469674,0
highArity,ha_m200_d20,2000,200,20.0,710788,4,compile,33328417,0
highArity,ha_m200_d20,2000,200,20.0,710788,5,compile,33396396,0
highArity,ha_m200_d20,2000,200,20.0,710788,6,compile,33448414,0
highArity,ha_m200_d20,2000,200,20.0,710788,7,compile,33498448,0
highArity,ha_m200_d20,2000,200,20.0,710788,8,compile,33576496,0
highArity,ha_m200_d20,2000,200,20.0,710788,9,compile,33594579,0
highArity,ha_m200_d50,5000,200,50.0,1748779,0,compile,98090539,0
highArity,ha_m200_d50,5000,200,50.0,1748779,1,compile,101507924,0
highArity,ha_m200_d50,5000,200,50.0,1748779,2,compile,99707037,0
highArity,ha_m200_d50,5000,200,50.0,1748779,3,compile,104887467,0
highArity,ha_m200_d50,5000,200,50.0,1748779,4,compile,98661065,0
highArity,ha_m200_d50,5000,200,50.0,1748779,5,compile,106681410,0
highArity,ha_m200_d50,5000,200,50.0,1748779,6,compile,103649823,0
highArity,ha_m200_d50,5000,200,50.0,1748779,7,compile,98855681,0
highArity,ha_m200_d50,5000,200,50.0,1748779,8,compile,100043411,0
highArity,ha_m200_d50,5000,200,50.0,1748779,9,compile,103214091,0
