family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
humanoid,humanoid_f0,28,27,2.0,14495,0,compile,853951,0
humanoid,humanoid_f0,28,27,2.0,14495,0,urdf,137660,19103
humanoid,humanoid_f0,28,27,2.0,14495,0,sdf,105579,26032
humanoid,humanoid_f0,28,27,2.0,14495,0,gazebo,228310,27502
humanoid,humanoid_f0,28,27,2.0,14495,0,mjcf,58581,9595
humanoid,humanoid_f0,28,27,2.0,14495,0,dot,16551,3046
humanoid,humanoid_f0,28,27,2.0,14495,0,mermaid,23004,2979
humanoid,humanoid_f0,28,27,2.0,14495,1,compile,877184,0
humanoid,humanoid_f0,28,27,2.0,14495,1,urdf,136117,19103
humanoid,humanoid_f0,28,27,2.0,14495,1,sdf,117231,26032
humanoid,humanoid_f0,28,27,2.0,14495,1,gazebo,206429,27502
humanoid,humanoid_f0,28,27,2.0,14495,1,mjcf,54362,9595
humanoid,humanoid_f0,28,27,2.0,14495,1,dot,15790,3046
humanoid,humanoid_f0,28,27,2.0,14495,1,mermaid,22091,2979
humanoid,humanoid_f0,28,27,2.0,14495,2,compile,877144,0
humanoid,humanoid_f0,28,27,2.0,14495,2,urdf,135836,19103
humanoid,humanoid_f0,28,27,2.0,14495,2,sdf,103826,26032
humanoid,humanoid_f0,28,27,2.0,14495,2,gazebo,207642,27502
humanoid,humanoid_f0,28,27,2.0,14495,2,mjcf,54272,9595
humanoid,humanoid_f0,28,27,2.0,14495,2,dot,15710,3046
humanoid,humanoid_f0,28,27,2.0,14495,2,mermaid,21861,2979
humanoid,humanoid_f0,28,27,2.0,14495,3,compile,875992,0
humanoid,humanoid_f0,28,27,2.0,14495,3,urdf,135656,19103
humanoid,humanoid_f0,28,27,2.0,14495,3,sdf,111179,26032
humanoid,humanoid_f0,28,27,2.0,14495,3,gazebo,205658,27502
humanoid,humanoid_f0,28,27,2.0,14495,3,mjcf,54453,9595
humanoid,humanoid_f0,28,27,2.0,14495,3,dot,15058,3046
humanoid,humanoid_f0,28,27,2.0,14495,3,mermaid,21711,2979
humanoid,humanoid_f0,28,27,2.0,14495,4,compile,867857,0
humanoid,humanoid_f0,28,27,2.0,14495,4,urdf,135766,19103
humanoid,humanoid_f0,28,27,2.0,14495,4,sdf,115488,26032
humanoid,humanoid_f0,28,27,2.0,14495,4,gazebo,286310,27502
humanoid,humanoid_f0,28,27,2.0,14495,4,mjcf,74410,9595
humanoid,humanoid_f0,28,27,2.0,14495,4,dot,31990,3046
humanoid,humanoid_f0,28,27,2.0,14495,4,mermaid,29346,2979
humanoid,humanoid_f0,28,27,2.0,14495,5,compile,1226162,0
humanoid,humanoid_f0,28,27,2.0,14495,5,urdf,201139,19103
humanoid,humanoid_f0,28,27,2.0,14495,5,sdf,155794,26032
humanoid,humanoid_f0,28,27,2.0,14495,5,gazebo,310085,27502
humanoid,humanoid_f0,28,27,2.0,14495,5,mjcf,73538,9595
humanoid,humanoid_f0,28,27,2.0,14495,5,dot,21130,3046
humanoid,humanoid_f0,28,27,2.0,14495,5,mermaid,29826,2979
humanoid,humanoid_f0,28,27,2.0,14495,6,compile,1237744,0
humanoid,humanoid_f0,28,27,2.0,14495,6,urdf,198344,19103
humanoid,humanoid_f0,28,27,2.0,14495,6,sdf,153400,26032
humanoid,humanoid_f0,28,27,2.0,14495,6,gazebo,314473,27502
humanoid,humanoid_f0,28,27,2.0,14495,6,mjcf,76664,9595
humanoid,humanoid_f0,28,27,2.0,14495,6,dot,21270,3046
humanoid,humanoid_f0,28,27,2.0,14495,6,mermaid,30087,2979
humanoid,humanoid_f0,28,27,2.0,14495,7,compile,1238445,0
humanoid,humanoid_f0,28,27,2.0,14495,7,urdf,194667,19103
humanoid,humanoid_f0,28,27,2.0,14495,7,sdf,153820,26032
humanoid,humanoid_f0,28,27,2.0,14495,7,gazebo,315735,27502
humanoid,humanoid_f0,28,27,2.0,14495,7,mjcf,70944,9595
humanoid,humanoid_f0,28,27,2.0,14495,7,dot,20118,3046
humanoid,humanoid_f0,28,27,2.0,14495,7,mermaid,28524,2979
humanoid,humanoid_f0,28,27,2.0,14495,8,compile,1257742,0
humanoid,humanoid_f0,28,27,2.0,14495,8,urdf,196751,19103
humanoid,humanoid_f0,28,27,2.0,14495,8,sdf,169960,26032
humanoid,humanoid_f0,28,27,2.0,14495,8,gazebo,300106,27502
humanoid,humanoid_f0,28,27,2.0,14495,8,mjcf,77366,9595
humanoid,humanoid_f0,28,27,2.0,14495,8,dot,20790,3046
humanoid,humanoid_f0,28,27,2.0,14495,8,mermaid,30137,2979
humanoid,humanoid_f0,28,27,2.0,14495,9,compile,1262220,0
humanoid,humanoid_f0,28,27,2.0,14495,9,urdf,185229,19103
humanoid,humanoid_f0,28,27,2.0,14495,9,sdf,105689,26032
humanoid,humanoid_f0,28,27,2.0,14495,9,gazebo,216268,27502
humanoid,humanoid_f0,28,27,2.0,14495,9,mjcf,55174,9595
humanoid,humanoid_f0,28,27,2.0,14495,9,dot,15479,3046
humanoid,humanoid_f0,28,27,2.0,14495,9,mermaid,22282,2979
humanoid,humanoid_f2,44,43,2.0,23330,0,compile,1232915,0
humanoid,humanoid_f2,44,43,2.0,23330,0,urdf,212601,30672
humanoid,humanoid_f2,44,43,2.0,23330,0,sdf,170282,42009
humanoid,humanoid_f2,44,43,2.0,23330,0,gazebo,292111,43584
humanoid,humanoid_f2,44,43,2.0,23330,0,mjcf,93566,16576
humanoid,humanoid_f2,44,43,2.0,23330,0,dot,24236,5418
