family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
quadruped,quadruped_d3_t0,14,13,2.0,7194,0,compile,555127,0
quadruped,quadruped_d3_t0,14,13,2.0,7194,0,urdf,73879,9359
quadruped,quadruped_d3_t0,14,13,2.0,7194,0,sdf,57479,12817
quadruped,quadruped_d3_t0,14,13,2.0,7194,0,gazebo,143871,14145
quadruped,quadruped_d3_t0,14,13,2.0,7194,0,mjcf,27843,4587
quadruped,quadruped_d3_t0,14,13,2.0,7194,0,dot,7714,1498
quadruped,quadruped_d3_t0,14,13,2.0,7194,0,mermaid,11802,1515
quadruped,quadruped_d3_t0,14,13,2.0,7194,1,compile,562952,0
quadruped,quadruped_d3_t0,14,13,2.0,7194,1,urdf,73469,9359
quadruped,quadruped_d3_t0,14,13,2.0,7194,1,sdf,56907,12817
quadruped,quadruped_d3_t0,14,13,2.0,7194,1,gazebo,144041,14145
quadruped,quadruped_d3_t0,14,13,2.0,7194,1,mjcf,26590,4587
quadruped,quadruped_d3_t0,14,13,2.0,7194,1,dot,7454,1498
quadruped,quadruped_d3_t0,14,13,2.0,7194,1,mermaid,11502,1515
quadruped,quadruped_d3_t0,14,13,2.0,7194,2,compile,558504,0
quadruped,quadruped_d3_t0,14,13,2.0,7194,2,urdf,74871,9359
quadruped,quadruped_d3_t0,14,13,2.0,7194,2,sdf,56627,12817
quadruped,quadruped_d3_t0,14,13,2.0,7194,2,gazebo,140435,14145
quadruped,quadruped_d3_t0,14,13,2.0,7194,2,mjcf,26119,4587
quadruped,quadruped_d3_t0,14,13,2.0,7194,2,dot,7624,1498
quadruped,quadruped_d3_t0,14,13,2.0,7194,2,mermaid,11201,1515
quadruped,quadruped_d3_t0,14,13,2.0,7194,3,compile,552282,0
quadruped,quadruped_d3_t0,14,13,2.0,7194,3,urdf,79079,9359
quadruped,quadruped_d3_t0,14,13,2.0,7194,3,sdf,56196,12817
quadruped,quadruped_d3_t0,14,13,2.0,7194,3,gazebo,137639,14145
quadruped,quadruped_d3_t0,14,13,2.0,7194,3,mjcf,26290,4587
quadruped,quadruped_d3_t0,14,13,2.0,7194,3,dot,7293,1498
quadruped,quadruped_d3_t0,14,13,2.0,7194,3,mermaid,10961,1515
quadruped,quadruped_d3_t0,14,13,2.0,7194,4,compile,558333,0
quadruped,quadruped_d3_t0,14,13,2.0,7194,4,urdf,72376,9359
quadruped,quadruped_d3_t0,14,13,2.0,7194,4,sdf,63990,12817
quadruped,quadruped_d3_t0,14,13,2.0,7194,4,gazebo,135896,14145
quadruped,quadruped_d3_t0,14,13,2.0,7194,4,mjcf,26671,4587
quadruped,quadruped_d3_t0,14,13,2.0,7194,4,dot,7684,1498
quadruped,quadruped_d3_t0,14,13,2.0,7194,4,mermaid,11271,1515
quadruped,quadruped_d3_t0,14,13,2.0,7194,5,compile,547092,0
quadruped,quadruped_d3_t0,14,13,2.0,7194,5,urdf,78558,9359
quadruped,quadruped_d3_t0,14,13,2.0,7194,5,sdf,56476,12817
quadruped,quadruped_d3_t0,14,13,2.0,7194,5,gazebo,144222,14145
quadruped,quadruped_d3_t0,14,13,2.0,7194,5,mjcf,26640,4587
quadruped,quadruped_d3_t0,14,13,2.0,7194,5,dot,7524,1498
quadruped,quadruped_d3_t0,14,13,2.0,7194,5,mermaid,11331,1515
quadruped,quadruped_d3_t0,14,13,2.0,7194,6,compile,547212,0
quadruped,quadruped_d3_t0,14,13,2.0,7194,6,urdf,74280,9359
quadruped,quadruped_d3_t0,14,13,2.0,7194,6,sdf,55786,12817
quadruped,quadruped_d3_t0,14,13,2.0,7194,6,gazebo,143982,14145
quadruped,quadruped_d3_t0,14,13,2.0,7194,6,mjcf,25798,4587
quadruped,quadruped_d3_t0,14,13,2.0,7194,6,dot,7364,1498
quadruped,quadruped_d3_t0,14,13,2.0,7194,6,mermaid,11121,1515
quadruped,quadruped_d3_t0,14,13,2.0,7194,7,compile,548825,0
quadruped,quadruped_d3_t0,14,13,2.0,7194,7,urdf,74660,9359
quadruped,quadruped_d3_t0,14,13,2.0,7194,7,sdf,61667,12817
quadruped,quadruped_d3_t0,14,13,2.0,7194,7,gazebo,140124,14145
quadruped,quadruped_d3_t0,14,13,2.0,7194,7,mjcf,26180,4587
quadruped,quadruped_d3_t0,14,13,2.0,7194,7,dot,12884,1498
quadruped,quadruped_d3_t0,14,13,2.0,7194,7,mermaid,11051,1515
quadruped,quadruped_d3_t0,14,13,2.0,7194,8,compile,557281,0
quadruped,quadruped_d3_t0,14,13,2.0,7194,8,urdf,74480,9359
quadruped,quadruped_d3_t0,14,13,2.0,7194,8,sdf,55896,12817
quadruped,quadruped_d3_t0,14,13,2.0,7194,8,gazebo,137450,14145
quadruped,quadruped_d3_t0,14,13,2.0,7194,8,mjcf,26881,4587
quadruped,quadruped_d3_t0,14,13,2.0,7194,8,dot,7303,1498
quadruped,quadruped_d3_t0,14,13,2.0,7194,8,mermaid,11261,1515
quadruped,quadruped_d3_t0,14,13,2.0,7194,9,compile,564906,0
quadruped,quadruped_d3_t0,14,13,2.0,7194,9,urdf,74350,9359
quadruped,quadruped_d3_t0,14,13,2.0,7194,9,sdf,56336,12817
quadruped,quadruped_d3_t0,14,13,2.0,7194,9,gazebo,138161,14145
quadruped,quadruped_d3_t0,14,13,2.0,7194,9,mjcf,27282,4587
quadruped,quadruped_d3_t0,14,13,2.0,7194,9,dot,7324,1498
quadruped,quadruped_d3_t0,14,13,2.0,7194,9,mermaid,11372,1515
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,compile,641169,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,urdf,86573,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,sdf,67096,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,gazebo,155904,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,mjcf,32791,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,dot,9128,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,0,mermaid,13095,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,compile,642592,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,urdf,107853,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,sdf,97363,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,gazebo,213553,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,mjcf,44364,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,dot,11532,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,1,mermaid,28453,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,compile,878898,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,urdf,124245,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,sdf,90370,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,gazebo,226487,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,mjcf,48211,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,dot,12444,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,2,mermaid,18555,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,compile,917892,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,urdf,127029,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,sdf,99478,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,gazebo,217891,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,mjcf,45627,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,dot,12083,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,3,mermaid,18074,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,compile,908563,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,urdf,140304,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,sdf,99187,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,gazebo,223261,16907
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,mjcf,45265,5661
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,dot,11733,1773
quadruped,quadruped_d3_t3,17,16,2.0,8715,4,mermaid,17803,1772
quadruped,quadruped_d3_t3,17,16,2.0,8715,5,compile,907722,0
quadruped,quadruped_d3_t3,17,16,2.0,8715,5,urdf,129695,11374
quadruped,quadruped_d3_t3,17,16,2.0,8715,5,sdf,97033,15698
quadruped,quadruped_d3_t3,17,16,2.0,8715,5,gazebo,221368,16907
