family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
tree,tree_1_k3,1,0,0.0,502,0,compile,233020,0
tree,tree_1_k3,1,0,0.0,502,0,urdf,11922,514
tree,tree_1_k3,1,0,0.0,502,0,sdf,16381,700
tree,tree_1_k3,1,0,0.0,502,0,gazebo,85721,2013
tree,tree_1_k3,1,0,0.0,502,0,mjcf,4558,358
tree,tree_1_k3,1,0,0.0,502,0,dot,1232,184
tree,tree_1_k3,1,0,0.0,502,0,mermaid,1603,279
tree,tree_1_k3,1,0,0.0,502,1,compile,234793,0
tree,tree_1_k3,1,0,0.0,502,1,urdf,11352,514
tree,tree_1_k3,1,0,0.0,502,1,sdf,7855,700
tree,tree_1_k3,1,0,0.0,502,1,gazebo,64000,2013
tree,tree_1_k3,1,0,0.0,502,1,mjcf,2725,358
tree,tree_1_k3,1,0,0.0,502,1,dot,932,184
tree,tree_1_k3,1,0,0.0,502,1,mermaid,802,279
tree,tree_1_k3,1,0,0.0,502,2,compile,232038,0
tree,tree_1_k3,1,0,0.0,502,2,urdf,11411,514
tree,tree_1_k3,1,0,0.0,502,2,sdf,7715,700
tree,tree_1_k3,1,0,0.0,502,2,gazebo,67177,2013
tree,tree_1_k3,1,0,0.0,502,2,mjcf,2635,358
tree,tree_1_k3,1,0,0.0,502,2,dot,832,184
tree,tree_1_k3,1,0,0.0,502,2,mermaid,762,279
tree,tree_1_k3,1,0,0.0,502,3,compile,240203,0
tree,tree_1_k3,1,0,0.0,502,3,urdf,11933,514
tree,tree_1_k3,1,0,0.0,502,3,sdf,7785,700
tree,tree_1_k3,1,0,0.0,502,3,gazebo,64521,2013
tree,tree_1_k3,1,0,0.0,502,3,mjcf,2585,358
tree,tree_1_k3,1,0,0.0,502,3,dot,831,184
tree,tree_1_k3,1,0,0.0,502,3,mermaid,812,279
tree,tree_1_k3,1,0,0.0,502,4,compile,237198,0
tree,tree_1_k3,1,0,0.0,502,4,urdf,11472,514
tree,tree_1_k3,1,0,0.0,502,4,sdf,7574,700
tree,tree_1_k3,1,0,0.0,502,4,gazebo,67006,2013
tree,tree_1_k3,1,0,0.0,502,4,mjcf,2485,358
tree,tree_1_k3,1,0,0.0,502,4,dot,671,184
tree,tree_1_k3,1,0,0.0,502,4,mermaid,801,279
tree,tree_1_k3,1,0,0.0,502,5,compile,234933,0
tree,tree_1_k3,1,0,0.0,502,5,urdf,11542,514
tree,tree_1_k3,1,0,0.0,502,5,sdf,7595,700
tree,tree_1_k3,1,0,0.0,502,5,gazebo,71285,2013
tree,tree_1_k3,1,0,0.0,502,5,mjcf,2555,358
tree,tree_1_k3,1,0,0.0,502,5,dot,701,184
tree,tree_1_k3,1,0,0.0,502,5,mermaid,791,279
tree,tree_1_k3,1,0,0.0,502,6,compile,241546,0
tree,tree_1_k3,1,0,0.0,502,6,urdf,11241,514
tree,tree_1_k3,1,0,0.0,502,6,sdf,7464,700
tree,tree_1_k3,1,0,0.0,502,6,gazebo,65714,2013
tree,tree_1_k3,1,0,0.0,502,6,mjcf,2414,358
tree,tree_1_k3,1,0,0.0,502,6,dot,721,184
tree,tree_1_k3,1,0,0.0,502,6,mermaid,822,279
tree,tree_1_k3,1,0,0.0,502,7,compile,236416,0
tree,tree_1_k3,1,0,0.0,502,7,urdf,11572,514
tree,tree_1_k3,1,0,0.0,502,7,sdf,7585,700
tree,tree_1_k3,1,0,0.0,502,7,gazebo,67167,2013
tree,tree_1_k3,1,0,0.0,502,7,mjcf,2354,358
tree,tree_1_k3,1,0,0.0,502,7,dot,641,184
tree,tree_1_k3,1,0,0.0,502,7,mermaid,752,279
tree,tree_1_k3,1,0,0.0,502,8,compile,232889,0
tree,tree_1_k3,1,0,0.0,502,8,urdf,12333,514
tree,tree_1_k3,1,0,0.0,502,8,sdf,9308,700
tree,tree_1_k3,1,0,0.0,502,8,gazebo,67847,2013
tree,tree_1_k3,1,0,0.0,502,8,mjcf,2525,358
tree,tree_1_k3,1,0,0.0,502,8,dot,661,184
tree,tree_1_k3,1,0,0.0,502,8,mermaid,801,279
tree,tree_1_k3,1,0,0.0,502,9,compile,242838,0
tree,tree_1_k3,1,0,0.0,502,9,urdf,11241,514
tree,tree_1_k3,1,0,0.0,502,9,sdf,7484,700
tree,tree_1_k3,1,0,0.0,502,9,gazebo,65443,2013
tree,tree_1_k3,1,0,0.0,502,9,mjcf,2595,358
tree,tree_1_k3,1,0,0.0,502,9,dot,671,184
tree,tree_1_k3,1,0,0.0,502,9,mermaid,801,279
tree,tree_2_k3,2,1,2.0,995,0,compile,259299,0
tree,tree_2_k3,2,1,2.0,995,0,urdf,18094,1174
tree,tree_2_k3,2,1,2.0,995,0,sdf,14107,1620
tree,tree_2_k3,2,1,2.0,995,0,gazebo,80401,2911
tree,tree_2_k3,2,1,2.0,995,0,mjcf,8396,670
tree,tree_2_k3,2,1,2.0,995,0,dot,2024,259
tree,tree_2_k3,2,1,2.0,995,0,mermaid,3427,348
tree,tree_2_k3,2,1,2.0,995,1,compile,289836,0
tree,tree_2_k3,2,1,2.0,995,1,urdf,18585,1174
tree,tree_2_k3,2,1,2.0,995,1,sdf,12423,1620
tree,tree_2_k3,2,1,2.0,995,1,gazebo,78157,2911
tree,tree_2_k3,2,1,2.0,995,1,mjcf,7403,670
tree,tree_2_k3,2,1,2.0,995,1,dot,1493,259
tree,tree_2_k3,2,1,2.0,995,1,mermaid,2505,348
tree,tree_2_k3,2,1,2.0,995,2,compile,263587,0
tree,tree_2_k3,2,1,2.0,995,2,urdf,17353,1174
tree,tree_2_k3,2,1,2.0,995,2,sdf,11742,1620
tree,tree_2_k3,2,1,2.0,995,2,gazebo,71885,2911
tree,tree_2_k3,2,1,2.0,995,2,mjcf,5480,670
tree,tree_2_k3,2,1,2.0,995,2,dot,1443,259
tree,tree_2_k3,2,1,2.0,995,2,mermaid,2214,348
tree,tree_2_k3,2,1,2.0,995,3,compile,265981,0
tree,tree_2_k3,2,1,2.0,995,3,urdf,17714,1174
tree,tree_2_k3,2,1,2.0,995,3,sdf,11703,1620
tree,tree_2_k3,2,1,2.0,995,3,gazebo,80863,2911
tree,tree_2_k3,2,1,2.0,995,3,mjcf,7183,670
tree,tree_2_k3,2,1,2.0,995,3,dot,1463,259
tree,tree_2_k3,2,1,2.0,995,3,mermaid,2274,348
tree,tree_2_k3,2,1,2.0,995,4,compile,268426,0
tree,tree_2_k3,2,1,2.0,995,4,urdf,17443,1174
