node_count,elapsed_seconds,avg_ms_per_run,median_ms_per_run,p95_ms_per_run,min_ms_per_run,max_ms_per_run,stddev_ms_per_run
10,0.000053,0.000534,0.000381,0.000391,0.000380,0.011492,0.001106
100,0.000307,0.003073,0.002876,0.003006,0.002865,0.010690,0.000920
200,0.000664,0.006636,0.005956,0.008005,0.005911,0.009589,0.000892
500,0.001400,0.014004,0.013666,0.013876,0.013615,0.022122,0.001285
1000,0.002770,0.027701,0.026730,0.031890,0.026530,0.047590,0.002832
2000,0.005533,0.055334,0.053315,0.064913,0.052209,0.083347,0.005582
2500,0.007590,0.075903,0.072061,0.090110,0.070112,0.112331,0.008124
5000,0.016464,0.164638,0.159015,0.191180,0.152467,0.238208,0.014524
10000,0.039167,0.391670,0.388126,0.420282,0.371400,0.497928,0.018859
20000,0.087696,0.876961,0.868250,0.940922,0.807932,1.137482,0.042039
25000,0.114245,1.142452,1.121137,1.247619,1.063243,1.449931,0.068866
50000,0.252335,2.523353,2.454428,2.933485,2.223208,3.843429,0.248866
100000,0.659583,6.595828,6.521398,7.460382,5.412815,8.122429,0.437758
