-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        26.33%     951.642ms        26.39%     953.921ms      22.464us       0.000us         0.00%       7.228ms       0.170us         42464  
                                  cudaStreamSynchronize         8.34%     301.439ms         8.34%     301.439ms      74.485us       0.000us         0.00%       0.000us       0.000us          4047  
                                            aten::addmm         6.66%     240.854ms        35.47%        1.282s     466.204us      92.025ms        14.97%     236.250ms      85.909us          2750  
                                        cudaMemcpyAsync         4.83%     174.471ms         4.83%     174.471ms      28.200us       0.000us         0.00%       0.000us       0.000us          6187  
                                            aten::copy_         3.75%     135.641ms        16.87%     609.741ms      45.347us     105.611ms        17.18%     112.087ms       8.336us         13446  
                                            aten::empty         3.27%     118.162ms         3.29%     119.091ms       5.605us       0.000us         0.00%       0.000us       0.000us         21248  
                                        aten::_coalesce         2.93%     106.072ms        18.96%     685.502ms     936.478us     161.446ms        26.27%     189.077ms     258.302us           732  
                                               aten::mm         2.70%      97.693ms        27.86%        1.007s     399.584us      33.874ms         5.51%     124.961ms      49.588us          2520  
                                    cudaLaunchKernelExC         2.66%      96.144ms         2.66%      96.261ms      14.227us       0.000us         0.00%     303.465us       0.045us          6766  
                               Optimizer.step#Adam.step         1.96%      70.745ms         6.74%     243.612ms       2.030ms       0.000us         0.00%       3.068ms      25.564us           120  
                                 aten::_index_put_impl_         1.74%      62.925ms         5.18%     187.303ms     780.429us      66.019ms        10.74%      74.333ms     309.719us           240  
                                            aten::fill_         1.20%      43.435ms         4.31%     155.730ms      31.607us      15.908ms         2.59%      15.910ms       3.229us          4927  
                                              aten::sum         1.19%      43.098ms         2.17%      78.284ms      59.306us      17.507ms         2.85%      17.507ms      13.263us          1320  
                                        aten::transpose         1.18%      42.801ms         7.43%     268.690ms      30.603us       0.000us         0.00%       6.971ms       0.794us          8780  
                                            aten::clone         1.15%      41.390ms         6.88%     248.601ms      67.280us       0.000us         0.00%      59.046ms      15.980us          3695  
                                             aten::div_         1.04%      37.714ms         2.09%      75.577ms      41.617us       8.811ms         1.43%       8.813ms       4.853us          1816  
                                              aten::mul         1.04%      37.594ms         2.16%      78.068ms      47.719us      11.266ms         1.83%      11.274ms       6.891us          1636  
                                             aten::add_         1.02%      36.769ms         2.43%      87.909ms      18.704us      12.548ms         2.04%      12.653ms       2.692us          4700  
                                    aten::empty_strided         0.93%      33.522ms         0.93%      33.748ms       5.133us       0.000us         0.00%       0.000us       0.000us          6575  
                                                aten::t         0.83%      29.836ms         7.95%     287.449ms      51.330us       0.000us         0.00%       6.971ms       1.245us          5600  
                                              aten::cat         0.76%      27.552ms         1.56%      56.314ms      54.833us      30.506ms         4.96%      30.681ms      29.874us          1027  
                                    aten::_foreach_sqrt         0.75%      27.093ms         1.27%      46.058ms     383.818us     332.328us         0.05%     335.080us       2.792us           120  
                               aten::linalg_vector_norm         0.72%      26.005ms         0.90%      32.593ms     224.777us       5.858ms         0.95%       5.865ms      40.447us           145  
                       Runtime Triggered Module Loading         0.72%      25.991ms         0.72%      25.991ms       3.249ms     303.048us         0.05%     303.048us      37.881us             8  
                                        aten::clamp_min         0.72%      25.867ms         1.32%      47.681ms      54.555us       7.662ms         1.25%       7.663ms       8.768us           874  
    autograd::engine::evaluate_function: AddmmBackward0         0.67%      24.333ms         7.97%     288.244ms     300.254us       0.000us         0.00%      48.636ms      50.662us           960  
                                       aten::as_strided         0.64%      23.211ms         0.64%      23.211ms       1.127us       0.000us         0.00%       0.000us       0.000us         20589  
                                     aten::_foreach_add         0.60%      21.584ms         1.24%      44.746ms     372.882us     397.552us         0.06%     400.912us       3.341us           120  
                                            aten::zero_         0.56%      20.375ms         4.08%     147.622ms      33.414us       0.000us         0.00%      14.557ms       3.295us          4418  
                                              aten::add         0.53%      19.133ms         1.16%      41.919ms      46.837us       7.695ms         1.25%       7.703ms       8.607us           895  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.615s
Self CUDA time total: 614.606ms
