tool,family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
competitor,chain,chain_2,2,1,2.0,953,0,xacro_urdf,73713814,1543
competitor,chain,chain_2,2,1,2.0,953,0,gz_sdf,146373322,2370
competitor,chain,chain_2,2,1,2.0,953,0,mujoco_mjcf,178709747,402
competitor,chain,chain_2,2,1,2.0,953,0,bundle_3fmt,382884646,0
competitor,chain,chain_2,2,1,2.0,953,1,xacro_urdf,69398678,1543
competitor,chain,chain_2,2,1,2.0,953,1,gz_sdf,134481703,2370
competitor,chain,chain_2,2,1,2.0,953,1,mujoco_mjcf,179744241,402
competitor,chain,chain_2,2,1,2.0,953,1,bundle_3fmt,403349770,0
competitor,chain,chain_2,2,1,2.0,953,2,xacro_urdf,69337873,1543
competitor,chain,chain_2,2,1,2.0,953,2,gz_sdf,135128536,2370
competitor,chain,chain_2,2,1,2.0,953,2,mujoco_mjcf,183635571,402
competitor,chain,chain_2,2,1,2.0,953,2,bundle_3fmt,378125947,0
competitor,chain,chain_2,2,1,2.0,953,3,xacro_urdf,72434230,1543
competitor,chain,chain_2,2,1,2.0,953,3,gz_sdf,149312298,2370
competitor,chain,chain_2,2,1,2.0,953,3,mujoco_mjcf,178470868,402
competitor,chain,chain_2,2,1,2.0,953,3,bundle_3fmt,401913983,0
competitor,chain,chain_2,2,1,2.0,953,4,xacro_urdf,68837015,1543
competitor,chain,chain_2,2,1,2.0,953,4,gz_sdf,141171816,2370
competitor,chain,chain_2,2,1,2.0,953,4,mujoco_mjcf,210716750,402
competitor,chain,chain_2,2,1,2.0,953,4,bundle_3fmt,395163357,0
competitor,tree,tree_2_k3,2,1,2.0,915,0,xacro_urdf,69297064,1508
competitor,tree,tree_2_k3,2,1,2.0,915,0,gz_sdf,142219386,2276
competitor,tree,tree_2_k3,2,1,2.0,915,0,mujoco_mjcf,173723002,404
competitor,tree,tree_2_k3,2,1,2.0,915,0,bundle_3fmt,436436822,0
competitor,tree,tree_2_k3,2,1,2.0,915,1,xacro_urdf,71967856,1508
competitor,tree,tree_2_k3,2,1,2.0,915,1,gz_sdf,141516284,2276
competitor,tree,tree_2_k3,2,1,2.0,915,1,mujoco_mjcf,177196542,404
competitor,tree,tree_2_k3,2,1,2.0,915,1,bundle_3fmt,395141005,0
competitor,tree,tree_2_k3,2,1,2.0,915,2,xacro_urdf,68477382,1508
competitor,tree,tree_2_k3,2,1,2.0,915,2,gz_sdf,154914168,2276
competitor,tree,tree_2_k3,2,1,2.0,915,2,mujoco_mjcf,204552230,404
competitor,tree,tree_2_k3,2,1,2.0,915,2,bundle_3fmt,374488533,0
competitor,tree,tree_2_k3,2,1,2.0,915,3,xacro_urdf,69470811,1508
competitor,tree,tree_2_k3,2,1,2.0,915,3,gz_sdf,136012509,2276
competitor,tree,tree_2_k3,2,1,2.0,915,3,mujoco_mjcf,178473063,404
competitor,tree,tree_2_k3,2,1,2.0,915,3,bundle_3fmt,388887360,0
competitor,tree,tree_2_k3,2,1,2.0,915,4,xacro_urdf,69517607,1508
competitor,tree,tree_2_k3,2,1,2.0,915,4,gz_sdf,145467072,2276
competitor,tree,tree_2_k3,2,1,2.0,915,4,mujoco_mjcf,172868048,404
competitor,tree,tree_2_k3,2,1,2.0,915,4,bundle_3fmt,394045093,0
competitor,chain,chain_5,5,4,2.0,2648,0,xacro_urdf,72560322,3463
competitor,chain,chain_5,5,4,2.0,2648,0,gz_sdf,143558982,6675
competitor,chain,chain_5,5,4,2.0,2648,0,mujoco_mjcf,177576052,1251
competitor,chain,chain_5,5,4,2.0,2648,0,bundle_3fmt,395386375,0
competitor,chain,chain_5,5,4,2.0,2648,1,xacro_urdf,69197350,3463
competitor,chain,chain_5,5,4,2.0,2648,1,gz_sdf,151927591,6675
competitor,chain,chain_5,5,4,2.0,2648,1,mujoco_mjcf,196488917,1251
competitor,chain,chain_5,5,4,2.0,2648,1,bundle_3fmt,408351767,0
competitor,chain,chain_5,5,4,2.0,2648,2,xacro_urdf,72511229,3463
competitor,chain,chain_5,5,4,2.0,2648,2,gz_sdf,142917336,6675
competitor,chain,chain_5,5,4,2.0,2648,2,mujoco_mjcf,172407460,1251
competitor,chain,chain_5,5,4,2.0,2648,2,bundle_3fmt,422495947,0
competitor,chain,chain_5,5,4,2.0,2648,3,xacro_urdf,70299344,3463
competitor,chain,chain_5,5,4,2.0,2648,3,gz_sdf,142521746,6675
competitor,chain,chain_5,5,4,2.0,2648,3,mujoco_mjcf,175124940,1251
competitor,chain,chain_5,5,4,2.0,2648,3,bundle_3fmt,399195716,0
competitor,chain,chain_5,5,4,2.0,2648,4,xacro_urdf,68875881,3463
competitor,chain,chain_5,5,4,2.0,2648,4,gz_sdf,148223139,6675
competitor,chain,chain_5,5,4,2.0,2648,4,mujoco_mjcf,190307509,1251
competitor,chain,chain_5,5,4,2.0,2648,4,bundle_3fmt,391536254,0
competitor,tree,tree_5_k3,5,4,2.0,2550,0,xacro_urdf,70211796,3368
competitor,tree,tree_5_k3,5,4,2.0,2550,0,gz_sdf,140948716,6437
competitor,tree,tree_5_k3,5,4,2.0,2550,0,mujoco_mjcf,176729130,1203
competitor,tree,tree_5_k3,5,4,2.0,2550,0,bundle_3fmt,436562922,0
competitor,tree,tree_5_k3,5,4,2.0,2550,1,xacro_urdf,68523282,3368
competitor,tree,tree_5_k3,5,4,2.0,2550,1,gz_sdf,144567409,6437
competitor,tree,tree_5_k3,5,4,2.0,2550,1,mujoco_mjcf,192092110,1203
competitor,tree,tree_5_k3,5,4,2.0,2550,1,bundle_3fmt,397092815,0
competitor,tree,tree_5_k3,5,4,2.0,2550,2,xacro_urdf,67655038,3368
competitor,tree,tree_5_k3,5,4,2.0,2550,2,gz_sdf,153517609,6437
competitor,tree,tree_5_k3,5,4,2.0,2550,2,mujoco_mjcf,175313358,1203
competitor,tree,tree_5_k3,5,4,2.0,2550,2,bundle_3fmt,398111490,0
competitor,tree,tree_5_k3,5,4,2.0,2550,3,xacro_urdf,67425233,3368
competitor,tree,tree_5_k3,5,4,2.0,2550,3,gz_sdf,152933242,6437
competitor,tree,tree_5_k3,5,4,2.0,2550,3,mujoco_mjcf,172253287,1203
competitor,tree,tree_5_k3,5,4,2.0,2550,3,bundle_3fmt,392868317,0
competitor,tree,tree_5_k3,5,4,2.0,2550,4,xacro_urdf,73572061,3368
competitor,tree,tree_5_k3,5,4,2.0,2550,4,gz_sdf,144510809,6437
competitor,tree,tree_5_k3,5,4,2.0,2550,4,mujoco_mjcf,169479509,1203
competitor,tree,tree_5_k3,5,4,2.0,2550,4,bundle_3fmt,390063697,0
