family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
chain,chain_1,1,0,0.0,496,0,compile,231296,0
chain,chain_1,1,0,0.0,496,0,urdf,11572,522
chain,chain_1,1,0,0.0,496,0,sdf,8836,778
chain,chain_1,1,0,0.0,496,0,gazebo,83668,2057
chain,chain_1,1,0,0.0,496,0,mjcf,5701,356
chain,chain_1,1,0,0.0,496,0,dot,1392,182
chain,chain_1,1,0,0.0,496,0,mermaid,1693,277
chain,chain_1,1,0,0.0,496,1,compile,227920,0
chain,chain_1,1,0,0.0,496,1,urdf,10931,522
chain,chain_1,1,0,0.0,496,1,sdf,7534,778
chain,chain_1,1,0,0.0,496,1,gazebo,62567,2057
chain,chain_1,1,0,0.0,496,1,mjcf,4047,356
chain,chain_1,1,0,0.0,496,1,dot,801,182
chain,chain_1,1,0,0.0,496,1,mermaid,872,277
chain,chain_1,1,0,0.0,496,2,compile,227489,0
chain,chain_1,1,0,0.0,496,2,urdf,11171,522
chain,chain_1,1,0,0.0,496,2,sdf,7544,778
chain,chain_1,1,0,0.0,496,2,gazebo,61836,2057
chain,chain_1,1,0,0.0,496,2,mjcf,4258,356
chain,chain_1,1,0,0.0,496,2,dot,912,182
chain,chain_1,1,0,0.0,496,2,mermaid,912,277
chain,chain_1,1,0,0.0,496,3,compile,233770,0
chain,chain_1,1,0,0.0,496,3,urdf,10921,522
chain,chain_1,1,0,0.0,496,3,sdf,7254,778
chain,chain_1,1,0,0.0,496,3,gazebo,66665,2057
chain,chain_1,1,0,0.0,496,3,mjcf,2555,356
chain,chain_1,1,0,0.0,496,3,dot,721,182
chain,chain_1,1,0,0.0,496,3,mermaid,942,277
chain,chain_1,1,0,0.0,496,4,compile,231296,0
chain,chain_1,1,0,0.0,496,4,urdf,13927,522
chain,chain_1,1,0,0.0,496,4,sdf,9538,778
chain,chain_1,1,0,0.0,496,4,gazebo,78688,2057
chain,chain_1,1,0,0.0,496,4,mjcf,2414,356
chain,chain_1,1,0,0.0,496,4,dot,852,182
chain,chain_1,1,0,0.0,496,4,mermaid,972,277
chain,chain_1,1,0,0.0,496,5,compile,239602,0
chain,chain_1,1,0,0.0,496,5,urdf,11101,522
chain,chain_1,1,0,0.0,496,5,sdf,7464,778
chain,chain_1,1,0,0.0,496,5,gazebo,69932,2057
chain,chain_1,1,0,0.0,496,5,mjcf,2354,356
chain,chain_1,1,0,0.0,496,5,dot,832,182
chain,chain_1,1,0,0.0,496,5,mermaid,972,277
chain,chain_1,1,0,0.0,496,6,compile,226918,0
chain,chain_1,1,0,0.0,496,6,urdf,11591,522
chain,chain_1,1,0,0.0,496,6,sdf,7324,778
chain,chain_1,1,0,0.0,496,6,gazebo,61065,2057
chain,chain_1,1,0,0.0,496,6,mjcf,2304,356
chain,chain_1,1,0,0.0,496,6,dot,832,182
chain,chain_1,1,0,0.0,496,6,mermaid,872,277
chain,chain_1,1,0,0.0,496,7,compile,227719,0
chain,chain_1,1,0,0.0,496,7,urdf,11401,522
chain,chain_1,1,0,0.0,496,7,sdf,7253,778
