family,name,n_vertices,n_hyperedges,mean_arity,source_bytes,rep,stage,wall_ns,output_bytes
chain,chain_1,1,0,0.0,496,0,compile,446883,0
chain,chain_1,1,0,0.0,496,0,urdf,21110,522
chain,chain_1,1,0,0.0,496,0,sdf,15379,778
chain,chain_1,1,0,0.0,496,0,gazebo,154301,2057
chain,chain_1,1,0,0.0,496,0,mjcf,8736,356
chain,chain_1,1,0,0.0,496,0,dot,2004,182
chain,chain_1,1,0,0.0,496,0,mermaid,2555,277
chain,chain_1,1,0,0.0,496,1,compile,399984,0
chain,chain_1,1,0,0.0,496,1,urdf,19617,522
chain,chain_1,1,0,0.0,496,1,sdf,13306,778
chain,chain_1,1,0,0.0,496,1,gazebo,107793,2057
chain,chain_1,1,0,0.0,496,1,mjcf,7254,356
chain,chain_1,1,0,0.0,496,1,dot,1493,182
chain,chain_1,1,0,0.0,496,1,mermaid,1633,277
chain,chain_1,1,0,0.0,496,2,compile,399884,0
chain,chain_1,1,0,0.0,496,2,urdf,19617,522
chain,chain_1,1,0,0.0,496,2,sdf,12944,778
chain,chain_1,1,0,0.0,496,2,gazebo,112182,2057
chain,chain_1,1,0,0.0,496,2,mjcf,4027,356
chain,chain_1,1,0,0.0,496,2,dot,1453,182
chain,chain_1,1,0,0.0,496,2,mermaid,1653,277
chain,chain_1,1,0,0.0,496,3,compile,389334,0
chain,chain_1,1,0,0.0,496,3,urdf,19146,522
chain,chain_1,1,0,0.0,496,3,sdf,13215,778
chain,chain_1,1,0,0.0,496,3,gazebo,126118,2057
chain,chain_1,1,0,0.0,496,3,mjcf,3908,356
chain,chain_1,1,0,0.0,496,3,dot,1203,182
chain,chain_1,1,0,0.0,496,3,mermaid,1603,277
chain,chain_1,1,0,0.0,496,4,compile,410945,0
chain,chain_1,1,0,0.0,496,4,urdf,19758,522
chain,chain_1,1,0,0.0,496,4,sdf,13014,778
chain,chain_1,1,0,0.0,496,4,gazebo,109436,2057
chain,chain_1,1,0,0.0,496,4,mjcf,3697,356
chain,chain_1,1,0,0.0,496,4,dot,1202,182
chain,chain_1,1,0,0.0,496,4,mermaid,1623,277
chain,chain_1,1,0,0.0,496,5,compile,401267,0
chain,chain_1,1,0,0.0,496,5,urdf,22903,522
chain,chain_1,1,0,0.0,496,5,sdf,12885,778
chain,chain_1,1,0,0.0,496,5,gazebo,119355,2057
chain,chain_1,1,0,0.0,496,5,mjcf,4148,356
chain,chain_1,1,0,0.0,496,5,dot,1272,182
